 ******* Program SOILCO2
 ******* Selhausen run 2022/10/01-2023/10/01 for P2 (and P101)                   
 Units: L = cm  , T = hour, M = kg  

      Time     sum(rTop)    sum(rRoot)     sum(vTop)    sum(vRoot)     sum(vBot)          hTop         hRoot          hBot
       [T]           [L]           [L]           [L]           [L]           [L]           [L]           [L]           [L]
         1  7.757060E-03  0.000000E+00  7.757779E-03  0.000000E+00 -6.257878E-01 -2.149460E+02  0.000000E+00 -6.248500E+01
         2 -8.723304E-02  0.000000E+00 -8.723265E-02  0.000000E+00 -8.709743E-01 -2.031179E+02  0.000000E+00 -6.247000E+01
         3 -4.829339E-01  0.000000E+00 -4.829344E-01  0.000000E+00 -1.054321E+00 -1.645883E+02  0.000000E+00 -6.245500E+01
         4 -1.079076E+00  0.000000E+00 -1.079077E+00  0.000000E+00 -1.205314E+00 -1.282021E+02  0.000000E+00 -6.244000E+01
         5 -2.575640E+00  0.000000E+00 -2.575644E+00  0.000000E+00 -1.335766E+00 -3.916218E+01  0.000000E+00 -6.242500E+01
         6 -3.071183E+00  0.000000E+00 -3.071189E+00  0.000000E+00 -1.452101E+00 -6.814579E+01  0.000000E+00 -6.241000E+01
         7 -3.067332E+00  0.000000E+00 -3.067339E+00  0.000000E+00 -1.557986E+00 -1.038969E+02  0.000000E+00 -6.239600E+01
         8 -3.065159E+00  0.000000E+00 -3.065162E+00  0.000000E+00 -1.656041E+00 -1.161789E+02  0.000000E+00 -6.238100E+01
         9 -3.059970E+00  0.000000E+00 -3.059971E+00  0.000000E+00 -1.748488E+00 -1.245917E+02  0.000000E+00 -6.236600E+01
        10 -3.055252E+00  0.000000E+00 -3.055250E+00  0.000000E+00 -1.837323E+00 -1.309953E+02  0.000000E+00 -6.235100E+01
        11 -3.036701E+00  0.000000E+00 -3.036697E+00  0.000000E+00 -1.924298E+00 -1.375328E+02  0.000000E+00 -6.233600E+01
        12 -3.016079E+00  0.000000E+00 -3.016074E+00  0.000000E+00 -2.010710E+00 -1.428496E+02  0.000000E+00 -6.232100E+01
        13 -2.997208E+00  0.000000E+00 -2.997202E+00  0.000000E+00 -2.097462E+00 -1.474056E+02  0.000000E+00 -6.230600E+01
        14 -2.967464E+00  0.000000E+00 -2.967456E+00  0.000000E+00 -2.185038E+00 -1.527121E+02  0.000000E+00 -6.229100E+01
        15 -2.937883E+00  0.000000E+00 -2.937875E+00  0.000000E+00 -2.273636E+00 -1.570535E+02  0.000000E+00 -6.227700E+01
        16 -2.919184E+00  0.000000E+00 -2.919177E+00  0.000000E+00 -2.363265E+00 -1.599021E+02  0.000000E+00 -6.226200E+01
        17 -2.906236E+00  0.000000E+00 -2.906230E+00  0.000000E+00 -2.453830E+00 -1.625513E+02  0.000000E+00 -6.224700E+01
        18 -2.902197E+00  0.000000E+00 -2.902190E+00  0.000000E+00 -2.545155E+00 -1.644983E+02  0.000000E+00 -6.223200E+01
        19 -2.900211E+00  0.000000E+00 -2.900201E+00  0.000000E+00 -2.636992E+00 -1.666634E+02  0.000000E+00 -6.221700E+01
        20 -2.901005E+00  0.000000E+00 -2.900993E+00  0.000000E+00 -2.729112E+00 -1.686564E+02  0.000000E+00 -6.220200E+01
        21 -2.902653E+00  0.000000E+00 -2.902643E+00  0.000000E+00 -2.821225E+00 -1.705581E+02  0.000000E+00 -6.218700E+01
        22 -2.902423E+00  0.000000E+00 -2.902411E+00  0.000000E+00 -2.913189E+00 -1.727776E+02  0.000000E+00 -6.217200E+01
        23 -2.903460E+00  0.000000E+00 -2.903450E+00  0.000000E+00 -3.004725E+00 -1.745955E+02  0.000000E+00 -6.215700E+01
