#plants2
# 1=year
# 2=month
# 3=day
# 4=simulation time
# 5=potential soil evaporation [mm/T]
# 6=potential transpiration of plants (including evaporation of interception) [mm/T]
# 7=evaporation of interception due "with energy leftover" from eva_soil [mm/T]
# 8=evaporation of interception plants [mm/T]
# 9=actual soil evaporation [mm/T]
#10=actual transpiration [mm/T]
#11=potential flux [mm/T]
#12=actual flux [mm/T]
#13=alphaAvg
year month  day time    eva_pot    trans_pot       i_soil     i_plants      eva_act   transp_act     flux_pot     flux_act     alphaAvg
2022 10  1     1.00  7.75706E-02  0.00000E+00  0.00000E+00  0.00000E+00  7.75778E-02  0.00000E+00  7.75706E-02  7.75778E-02  1.00000E+00
2022 10  1     2.00  5.00990E-02  0.00000E+00  0.00000E+00  0.00000E+00  5.00958E-02  0.00000E+00 -9.49901E-01 -9.49904E-01  1.00000E+00
2022 10  1     3.00  4.29915E-02  0.00000E+00  0.00000E+00  0.00000E+00  4.29825E-02  0.00000E+00 -3.95701E+00 -3.95702E+00  1.00000E+00
2022 10  1     4.00  3.85783E-02  0.00000E+00  0.00000E+00  0.00000E+00  3.85735E-02  0.00000E+00 -5.96142E+00 -5.96143E+00  1.00000E+00
2022 10  1     5.00  3.43617E-02  0.00000E+00  0.00000E+00  0.00000E+00  3.43328E-02  0.00000E+00 -1.49656E+01 -1.49657E+01  1.00000E+00
2022 10  1     6.00  4.45720E-02  0.00000E+00  0.00000E+00  0.00000E+00  4.45515E-02  0.00000E+00 -4.95543E+00 -4.95545E+00  1.00000E+00
2022 10  1     7.00  3.85069E-02  0.00000E+00  0.00000E+00  0.00000E+00  3.84978E-02  0.00000E+00  3.85069E-02  3.84978E-02  1.00000E+00
2022 10  1     8.00  2.17330E-02  0.00000E+00  0.00000E+00  0.00000E+00  2.17660E-02  0.00000E+00  2.17330E-02  2.17660E-02  1.00000E+00
2022 10  1     9.00  5.18912E-02  0.00000E+00  0.00000E+00  0.00000E+00  5.19118E-02  0.00000E+00  5.18912E-02  5.19118E-02  1.00000E+00
2022 10  1    10.00  4.71800E-02  0.00000E+00  0.00000E+00  0.00000E+00  4.72144E-02  0.00000E+00  4.71800E-02  4.72144E-02  1.00000E+00
2022 10  1    11.00  1.85509E-01  0.00000E+00  0.00000E+00  0.00000E+00  1.85527E-01  0.00000E+00  1.85509E-01  1.85527E-01  1.00000E+00
2022 10  1    12.00  2.06221E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.06229E-01  0.00000E+00  2.06221E-01  2.06229E-01  1.00000E+00
2022 10  1    13.00  1.88708E-01  0.00000E+00  0.00000E+00  0.00000E+00  1.88716E-01  0.00000E+00  1.88708E-01  1.88716E-01  1.00000E+00
2022 10  1    14.00  2.97434E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.97461E-01  0.00000E+00  2.97434E-01  2.97461E-01  1.00000E+00
2022 10  1    15.00  2.95811E-01  0.00000E+00  0.00000E+00  0.00000E+00  2.95812E-01  0.00000E+00  2.95811E-01  2.95812E-01  1.00000E+00
2022 10  1    16.00  1.86993E-01  0.00000E+00  0.00000E+00  0.00000E+00  1.86984E-01  0.00000E+00  1.86993E-01  1.86984E-01  1.00000E+00
2022 10  1    17.00  1.29480E-01  0.00000E+00  0.00000E+00  0.00000E+00  1.29466E-01  0.00000E+00  1.29480E-01  1.29466E-01  1.00000E+00
2022 10  1    18.00  4.03934E-02  0.00000E+00  0.00000E+00  0.00000E+00  4.04049E-02  0.00000E+00  4.03934E-02  4.04049E-02  1.00000E+00
2022 10  1    19.00  1.98602E-02  0.00000E+00  0.00000E+00  0.00000E+00  1.98828E-02  0.00000E+00  1.98602E-02  1.98828E-02  1.00000E+00
2022 10  1    20.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.14505E-05  0.00000E+00 -7.94178E-03 -7.92033E-03  1.00000E+00
2022 10  1    21.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -7.73639E-06  0.00000E+00 -1.64850E-02 -1.64927E-02  1.00000E+00
2022 10  1    22.00  2.30558E-03  0.00000E+00  0.00000E+00  0.00000E+00  2.31184E-03  0.00000E+00  2.30558E-03  2.31184E-03  1.00000E+00
2022 10  1    23.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -9.34596E-06  0.00000E+00 -1.03756E-02 -1.03849E-02  1.00000E+00
2022 10  1    24.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.20758E-05  0.00000E+00 -1.01628E-02 -1.01507E-02  1.00000E+00
2022 10  2    25.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -1.16798E-05  0.00000E+00 -9.45223E-03 -9.46391E-03  1.00000E+00
2022 10  2    26.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  7.78993E-07  0.00000E+00 -6.77442E-03 -6.77364E-03  1.00000E+00
2022 10  2    27.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.06352E-05  0.00000E+00 -9.90906E-03 -9.89842E-03  1.00000E+00
2022 10  2    28.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -1.05997E-05  0.00000E+00 -9.87114E-03 -9.88174E-03  1.00000E+00
2022 10  2    29.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  2.55618E-05  0.00000E+00 -5.01222E+00 -5.01219E+00  1.00000E+00
2022 10  2    30.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  5.38195E-05  0.00000E+00 -2.00953E+00 -2.00948E+00  1.00000E+00
2022 10  2    31.00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00 -2.65914E-05  0.00000E+00 -4.00425E+00 -4.00427E+00  1.00000E+00
2022 10  2    32.00  1.88496E-03  0.00000E+00  0.00000E+00  0.00000E+00  1.88427E-03  0.00000E+00 -9.98115E-01 -9.98116E-01  1.00000E+00
2022 10  2    33.00  1.38016E-02  0.00000E+00  0.00000E+00  0.00000E+00  1.38169E-02  0.00000E+00 -9.86198E-01 -9.86183E-01  1.00000E+00
2022 10  2    34.00  3.57368E-02  0.00000E+00  0.00000E+00  0.00000E+00  3.57703E-02  0.00000E+00  3.57368E-02  3.57703E-02  1.00000E+00
2022 10  2    35.00  1.22374E-01  0.00000E+00  0.00000E+00  0.00000E+00  1.22386E-01  0.00000E+00  1.22374E-01  1.22386E-01  1.00000E+00
2022 10  2    36.00  9.80983E-02  0.00000E+00  0.00000E+00  0.00000E+00  9.80952E-02  0.00000E+00  9.80983E-02  9.80952E-02  1.00000E+00
